app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,result
311,,Keep,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #12 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

北京卡路里科技有限公司及关联公司（以下简称「Keep App」或「我们」）非常重视您的个人信息，并让您对个人信息拥有控制权，我们会使用强大的加密技术来保护您的隐私，同时制定严格的政策来管理所有数据。
【同簇句】
如果您不同意本隐私政策中的任何内容，请立即停止使用或访问我们的产品和服务。
【同簇句】
iv.您可以通过本指引所列途径访问、更正、删除您的个人信息，也可以撤回同意、注销账号、投诉举报以及设置隐私功能。
【同簇句】
提示您注意：您可以随时在Keep App 中的「我」的页面左上角-「设置」-「隐私设置」-「管理设备隐私授权」页面中，撤回/拒绝授予Keep访问的设备权限。
【同簇句】
请您注意，如Keep App开展业务需进行的个人信息处理活动超出您原本向第三方提供个人信息时的授权同意范围，我们将在处理您的该等个人信息前，征得您的明示同意；
【同簇句】
在一些情况下，您可通过我们某些服务的隐私设定来控制有权浏览您共享信息的用户范围。
【同簇句】
这些第三方可能代表Keep App或出于本隐私政策的一项或多项目的处理您的个人信息。
【同簇句】
若您在使用过程中，想要撤回您共享信息的同意授权，您可通过Keep App 中的「我」的页面左上角-「设置」-「隐私设置」-「第三方数据合作」自行决定是否变更您的授权行为。
【同簇句】
您可以通过提交请求撤回之前出于特定目的授予我们的同意，包括收集、使用和/或披露我们掌握或控制的您的个人信息。
【同簇句】
请您查看该第三方的隐私保护政策。
【同簇句】
我们可能会不定期修改、更新本隐私政策，有关隐私政策的更新，我们会在 Keep App 中以通知公告等形式发布，您可以访问 Keep App 查询最新版本的隐私政策。
【同簇句】
若您在使用过程中，想要撤回您的同意授权，您可通过左上角「头像」-「设置」-「隐私」-「撤回隐私政策授权」自行决定是否变更您的授权行为。
【同簇句】
我们的隐私权政策不适用于第三方提供的产品和服务，例如在 Keep App 及 website_url_lnk 上由第三方提供的产品和服务，以及在我们的服务中链接到的其他网站，这些产品、服务或网站会有独立的隐私政策予以规范，请另行查阅相应的政策规定。
【同簇句】
对于为我们的服务进行广告宣传，以及可能使用我们的 Cookie 或其他日志信息来投放和使用广告的其他公司和组织，我们的隐私权政策并未涵盖其信息处理政策。",我们的隐私政策适用于由北京卡路里科技有限公司及其关联公司提供的所有服务，包括 Keep App 及 website_url_lnk 上提供的服务，但是不包括附有独立隐私政策的服务（如第三方提供的产品和服务）。,
312,,Keep,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #12 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

北京卡路里科技有限公司及关联公司（以下简称「Keep App」或「我们」）非常重视您的个人信息，并让您对个人信息拥有控制权，我们会使用强大的加密技术来保护您的隐私，同时制定严格的政策来管理所有数据。
【同簇句】
如果您不同意本隐私政策中的任何内容，请立即停止使用或访问我们的产品和服务。
【同簇句】
iv.您可以通过本指引所列途径访问、更正、删除您的个人信息，也可以撤回同意、注销账号、投诉举报以及设置隐私功能。
【同簇句】
提示您注意：您可以随时在Keep App 中的「我」的页面左上角-「设置」-「隐私设置」-「管理设备隐私授权」页面中，撤回/拒绝授予Keep访问的设备权限。
【同簇句】
请您注意，如Keep App开展业务需进行的个人信息处理活动超出您原本向第三方提供个人信息时的授权同意范围，我们将在处理您的该等个人信息前，征得您的明示同意；
【同簇句】
在一些情况下，您可通过我们某些服务的隐私设定来控制有权浏览您共享信息的用户范围。
【同簇句】
这些第三方可能代表Keep App或出于本隐私政策的一项或多项目的处理您的个人信息。
【同簇句】
若您在使用过程中，想要撤回您共享信息的同意授权，您可通过Keep App 中的「我」的页面左上角-「设置」-「隐私设置」-「第三方数据合作」自行决定是否变更您的授权行为。
【同簇句】
您可以通过提交请求撤回之前出于特定目的授予我们的同意，包括收集、使用和/或披露我们掌握或控制的您的个人信息。
【同簇句】
请您查看该第三方的隐私保护政策。
【同簇句】
我们可能会不定期修改、更新本隐私政策，有关隐私政策的更新，我们会在 Keep App 中以通知公告等形式发布，您可以访问 Keep App 查询最新版本的隐私政策。
【同簇句】
若您在使用过程中，想要撤回您的同意授权，您可通过左上角「头像」-「设置」-「隐私」-「撤回隐私政策授权」自行决定是否变更您的授权行为。
【同簇句】
我们的隐私政策适用于由北京卡路里科技有限公司及其关联公司提供的所有服务，包括 Keep App 及 website_url_lnk 上提供的服务，但是不包括附有独立隐私政策的服务（如第三方提供的产品和服务）。
【同簇句】
对于为我们的服务进行广告宣传，以及可能使用我们的 Cookie 或其他日志信息来投放和使用广告的其他公司和组织，我们的隐私权政策并未涵盖其信息处理政策。",我们的隐私权政策不适用于第三方提供的产品和服务，例如在 Keep App 及 website_url_lnk 上由第三方提供的产品和服务，以及在我们的服务中链接到的其他网站，这些产品、服务或网站会有独立的隐私政策予以规范，请另行查阅相应的政策规定。,
313,,Keep,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #12 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

北京卡路里科技有限公司及关联公司（以下简称「Keep App」或「我们」）非常重视您的个人信息，并让您对个人信息拥有控制权，我们会使用强大的加密技术来保护您的隐私，同时制定严格的政策来管理所有数据。
【同簇句】
如果您不同意本隐私政策中的任何内容，请立即停止使用或访问我们的产品和服务。
【同簇句】
iv.您可以通过本指引所列途径访问、更正、删除您的个人信息，也可以撤回同意、注销账号、投诉举报以及设置隐私功能。
【同簇句】
提示您注意：您可以随时在Keep App 中的「我」的页面左上角-「设置」-「隐私设置」-「管理设备隐私授权」页面中，撤回/拒绝授予Keep访问的设备权限。
【同簇句】
请您注意，如Keep App开展业务需进行的个人信息处理活动超出您原本向第三方提供个人信息时的授权同意范围，我们将在处理您的该等个人信息前，征得您的明示同意；
【同簇句】
在一些情况下，您可通过我们某些服务的隐私设定来控制有权浏览您共享信息的用户范围。
【同簇句】
这些第三方可能代表Keep App或出于本隐私政策的一项或多项目的处理您的个人信息。
【同簇句】
若您在使用过程中，想要撤回您共享信息的同意授权，您可通过Keep App 中的「我」的页面左上角-「设置」-「隐私设置」-「第三方数据合作」自行决定是否变更您的授权行为。
【同簇句】
您可以通过提交请求撤回之前出于特定目的授予我们的同意，包括收集、使用和/或披露我们掌握或控制的您的个人信息。
【同簇句】
请您查看该第三方的隐私保护政策。
【同簇句】
我们可能会不定期修改、更新本隐私政策，有关隐私政策的更新，我们会在 Keep App 中以通知公告等形式发布，您可以访问 Keep App 查询最新版本的隐私政策。
【同簇句】
若您在使用过程中，想要撤回您的同意授权，您可通过左上角「头像」-「设置」-「隐私」-「撤回隐私政策授权」自行决定是否变更您的授权行为。
【同簇句】
我们的隐私政策适用于由北京卡路里科技有限公司及其关联公司提供的所有服务，包括 Keep App 及 website_url_lnk 上提供的服务，但是不包括附有独立隐私政策的服务（如第三方提供的产品和服务）。
【同簇句】
我们的隐私权政策不适用于第三方提供的产品和服务，例如在 Keep App 及 website_url_lnk 上由第三方提供的产品和服务，以及在我们的服务中链接到的其他网站，这些产品、服务或网站会有独立的隐私政策予以规范，请另行查阅相应的政策规定。",对于为我们的服务进行广告宣传，以及可能使用我们的 Cookie 或其他日志信息来投放和使用广告的其他公司和组织，我们的隐私权政策并未涵盖其信息处理政策。,
314,,Keep,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #13 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

当您访问 Keep App 时，或使用我们提供的服务前，您需要同意本政策中关于我们如何收集、使用、储存和分享您的相关信息的规定。
【同簇句】
您可以在 Keep App 内购买商品/服务（包括Keep 会员服务、Keep 付费训练计划服务、Keep 私家课课程）。
【同簇句】
下单、支付及订单管理服务
【同簇句】
当您在Keep App 购买商品或服务时，我们会生成您购买该商品或服务的订单。
【同簇句】
为履行下单后向您寄送商品及提供售后服务，您需要在下单过程中填写收货人姓名、收货地址以及收货人手机号码，该订单同时还包含订单号、您购买的商品或服务信息、下单时间、您实际支付的货款金额及您采用的支付方式。
【同簇句】
您可以通过Keep App为其他人购买商品或服务，请您在提供他人个人信息前征得其的同意。
【同簇句】
留言和评价
【同簇句】
当您购买商品或服务后在Keep App进行留言反馈或评价时，我们会收集您对商品的留言和评论内容。
【同簇句】
我们在此提示您，由于对商品的留言和评论内容是公开发布的，如其中含有个人信息将给您带来一定风险。
【同簇句】
因此，建议您在留言和评论中谨慎考虑，是否在使用我们的服务时共享甚至公开分享相关信息。
【同簇句】
客服投诉
【同簇句】
因此，如果你发现类似提示并有疑问，请与我们联系，以便我们定位问题。
【同簇句】
请您谨慎考虑通过我们的服务上传、发布和交流的信息内容。
【同簇句】
您确认知悉并理解，您接入我们的服务所用的系统和通讯网络，有可能因我们可控范围外的因素而出现问题。
【同簇句】
您同意并继续使用Keep App，即意味着您同意本政策（含更新版本）的内容。",如对本政策内容有任何疑问、意见或建议，您可通过 Keep App 在线客服与我们联系；,
315,,Keep,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #5 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

若您对本政策有任何问题，请联系：feedback@keep.com，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息处理、存储。
【同簇句】
且除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
您可以自行删除您上传、发布或分享的信息，如要求我们为您删除您的相关信息，请发送邮件到 feedback@keep.com 与我们联络并提出您的要求，我们会在收到后15个工作日内完成并核查和处理。
【同簇句】
且除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
您可以自行从 Keep 账号中删除您的内容或个人信息，或要求我们删除或修改信息，例如您想要删除个人账号，可以发送邮件到 feedback@keep.com 与我们联络并提出您的要求，我们将在收到后15个工作日内联络您并完成核查和处理。
【同簇句】
因此，如果您删除了某些内容，我们可能会在15个工作日内从我们现用的和备用的系统中删除其副本。
【同簇句】
您可以随时复制、导出个人账号名下的内容或将其用于非 Keep 服务，您可以发邮件到 feedback@keep.com 与我们联络并提出您的要求，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
我们将会在您做出请求后的合理时间内处理您的请求，并且会根据您的请求，此后不再收集、使用和/或披露您的个人信息。
【同簇句】
但您撤回同意或授权的决定，不会影响我们此前基于您的同意而开展的个人信息处理活动的有效性。
【同簇句】
同时，我们将删除您的全部个人信息，除非您重新注册Keep账号，否则将无法继续使用Keep提供的产品功能，请您谨慎操作。
【同簇句】
我们设立了个人信息保护工作部门，您可以通过邮箱 feedback@keep.com 或电话 010-86399205 与我们联系，我们将在15个工作日内联络您并完成核查和处理。
【同簇句】
如果发现 Keep App互联网算法推荐存在算法歧视、""大数据杀熟""、流量造假、诱导沉迷等影响正常传播秩序、市场秩序和社会秩序等违规等行为，您可以通过 Keep App 投诉举报，我们将在15个工作日内联络您并完成核查和处理。",如果发现个人信息可能被泄露，您可以通过 Keep App 投诉举报，我们将在15个工作日内联络您并完成核查和处理；,
316,,Keep,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #5 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

若您对本政策有任何问题，请联系：feedback@keep.com，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息处理、存储。
【同簇句】
且除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
您可以自行删除您上传、发布或分享的信息，如要求我们为您删除您的相关信息，请发送邮件到 feedback@keep.com 与我们联络并提出您的要求，我们会在收到后15个工作日内完成并核查和处理。
【同簇句】
且除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
您可以自行从 Keep 账号中删除您的内容或个人信息，或要求我们删除或修改信息，例如您想要删除个人账号，可以发送邮件到 feedback@keep.com 与我们联络并提出您的要求，我们将在收到后15个工作日内联络您并完成核查和处理。
【同簇句】
因此，如果您删除了某些内容，我们可能会在15个工作日内从我们现用的和备用的系统中删除其副本。
【同簇句】
您可以随时复制、导出个人账号名下的内容或将其用于非 Keep 服务，您可以发邮件到 feedback@keep.com 与我们联络并提出您的要求，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
我们将会在您做出请求后的合理时间内处理您的请求，并且会根据您的请求，此后不再收集、使用和/或披露您的个人信息。
【同簇句】
但您撤回同意或授权的决定，不会影响我们此前基于您的同意而开展的个人信息处理活动的有效性。
【同簇句】
同时，我们将删除您的全部个人信息，除非您重新注册Keep账号，否则将无法继续使用Keep提供的产品功能，请您谨慎操作。
【同簇句】
如果发现个人信息可能被泄露，您可以通过 Keep App 投诉举报，我们将在15个工作日内联络您并完成核查和处理；
【同簇句】
如果发现 Keep App互联网算法推荐存在算法歧视、""大数据杀熟""、流量造假、诱导沉迷等影响正常传播秩序、市场秩序和社会秩序等违规等行为，您可以通过 Keep App 投诉举报，我们将在15个工作日内联络您并完成核查和处理。",我们设立了个人信息保护工作部门，您可以通过邮箱 feedback@keep.com 或电话 010-86399205 与我们联系，我们将在15个工作日内联络您并完成核查和处理。,
317,,Keep,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #5 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

若您对本政策有任何问题，请联系：feedback@keep.com，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的处理、存储。
【同簇句】
但除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息处理、存储。
【同簇句】
且除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
您可以自行删除您上传、发布或分享的信息，如要求我们为您删除您的相关信息，请发送邮件到 feedback@keep.com 与我们联络并提出您的要求，我们会在收到后15个工作日内完成并核查和处理。
【同簇句】
且除非您依照法律的规定删除了您的信息，否则您的取消行为不会影响我们基于您之前的授权进行的信息的存储或处理。
【同簇句】
您可以自行从 Keep 账号中删除您的内容或个人信息，或要求我们删除或修改信息，例如您想要删除个人账号，可以发送邮件到 feedback@keep.com 与我们联络并提出您的要求，我们将在收到后15个工作日内联络您并完成核查和处理。
【同簇句】
因此，如果您删除了某些内容，我们可能会在15个工作日内从我们现用的和备用的系统中删除其副本。
【同簇句】
您可以随时复制、导出个人账号名下的内容或将其用于非 Keep 服务，您可以发邮件到 feedback@keep.com 与我们联络并提出您的要求，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
我们将会在您做出请求后的合理时间内处理您的请求，并且会根据您的请求，此后不再收集、使用和/或披露您的个人信息。
【同簇句】
但您撤回同意或授权的决定，不会影响我们此前基于您的同意而开展的个人信息处理活动的有效性。
【同簇句】
同时，我们将删除您的全部个人信息，除非您重新注册Keep账号，否则将无法继续使用Keep提供的产品功能，请您谨慎操作。
【同簇句】
如果发现个人信息可能被泄露，您可以通过 Keep App 投诉举报，我们将在15个工作日内联络您并完成核查和处理；
【同簇句】
我们设立了个人信息保护工作部门，您可以通过邮箱 feedback@keep.com 或电话 010-86399205 与我们联系，我们将在15个工作日内联络您并完成核查和处理。","如果发现 Keep App互联网算法推荐存在算法歧视、""大数据杀熟""、流量造假、诱导沉迷等影响正常传播秩序、市场秩序和社会秩序等违规等行为，您可以通过 Keep App 投诉举报，我们将在15个工作日内联络您并完成核查和处理。",
318,,Keep,0,"【参考上下文】本句在句向量聚类中为噪声点（未归入稠密簇）。下列为同文档中抽取的若干其它句子，仅作 Lab3 行权方式识别的弱参照。

We're sorry but this site doesn't work properly without JavaScript enabled.
【同簇句】
Please enable it to continue.
【同簇句】
更新日期：2023 年 11 月 06 日
【同簇句】
生效日期：2023 年 11 月 06 日
【同簇句】
北京卡路里科技有限公司及关联公司（以下简称「Keep App」或「我们」）非常重视您的个人信息，并让您对个人信息拥有控制权，我们会使用强大的加密技术来保护您的隐私，同时制定严格的政策来管理所有数据。
【同簇句】
当您访问 Keep App 时，或使用我们提供的服务前，您需要同意本政策中关于我们如何收集、使用、储存和分享您的相关信息的规定。
【同簇句】
如果您不同意本隐私政策中的任何内容，请立即停止使用或访问我们的产品和服务。
【同簇句】
若您对本政策有任何问题，请联系：feedback@keep.com，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
Keep网页及App的运营者为北京卡路里科技有限公司或其关联公司。
【同簇句】
注册地址为北京市朝阳区望京街9号商业楼1层V段号031室、032室。
【同簇句】
我们将逐一说明我们收集的您的个人信息类型及其对应的用途，以便您了解我们针对某一特定功能所收集的具体个人信息的类别、使用理由及收集方式。
【同簇句】
ii.
【同簇句】
当您使用一些功能时，我们会在获得您的单独同意后，收集您的一些敏感信息，除非按照相关法律法规要求必须收集，拒绝提供这些信息仅会使您无法使用相关特定功能，但不影响您正常使用Keep App的其他功能。
【同簇句】
iii.
【同簇句】
目前， Keep App 不会主动共享或转让您的个人信息至Keep App外的第三方，如存在其他共享或转让您的个人信息或您需要我们将您的个人信息共享或转让至Keep App外的第三方情形时，我们会直接或确认第三方征得您对上述行为的单独同意，此外，我们会对对外提供信息的行为进行风险评估。
【同簇句】
iv.您可以通过本指引所列途径访问、更正、删除您的个人信息，也可以撤回同意、注销账号、投诉举报以及设置隐私功能。
【同簇句】
七、我们如何使用 Cookie 和同类技术
【同簇句】
本应用的扩展功能为跑步、骑行、行走、社区、饮食工具、身体测试、商城、会员、智能硬件、Keepland、Keep 团队版、站内活动等相关功能。
【同簇句】
注册、登录账号
【同簇句】
A．当您注册、登录Keep App时，您可以通过手机号创建账号，并且您可以完善相关的个人资料（包括头像、昵称、密码），收集这些信息是为了帮助您完成注册。",本政策的解释及争议解决均应适用中华人民共和国法律。,
319,,Keep,0,"【参考上下文】本句在句向量聚类中为噪声点（未归入稠密簇）。下列为同文档中抽取的若干其它句子，仅作 Lab3 行权方式识别的弱参照。

We're sorry but this site doesn't work properly without JavaScript enabled.
【同簇句】
Please enable it to continue.
【同簇句】
更新日期：2023 年 11 月 06 日
【同簇句】
生效日期：2023 年 11 月 06 日
【同簇句】
北京卡路里科技有限公司及关联公司（以下简称「Keep App」或「我们」）非常重视您的个人信息，并让您对个人信息拥有控制权，我们会使用强大的加密技术来保护您的隐私，同时制定严格的政策来管理所有数据。
【同簇句】
当您访问 Keep App 时，或使用我们提供的服务前，您需要同意本政策中关于我们如何收集、使用、储存和分享您的相关信息的规定。
【同簇句】
如果您不同意本隐私政策中的任何内容，请立即停止使用或访问我们的产品和服务。
【同簇句】
若您对本政策有任何问题，请联系：feedback@keep.com，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
Keep网页及App的运营者为北京卡路里科技有限公司或其关联公司。
【同簇句】
注册地址为北京市朝阳区望京街9号商业楼1层V段号031室、032室。
【同簇句】
我们将逐一说明我们收集的您的个人信息类型及其对应的用途，以便您了解我们针对某一特定功能所收集的具体个人信息的类别、使用理由及收集方式。
【同簇句】
ii.
【同簇句】
当您使用一些功能时，我们会在获得您的单独同意后，收集您的一些敏感信息，除非按照相关法律法规要求必须收集，拒绝提供这些信息仅会使您无法使用相关特定功能，但不影响您正常使用Keep App的其他功能。
【同簇句】
iii.
【同簇句】
目前， Keep App 不会主动共享或转让您的个人信息至Keep App外的第三方，如存在其他共享或转让您的个人信息或您需要我们将您的个人信息共享或转让至Keep App外的第三方情形时，我们会直接或确认第三方征得您对上述行为的单独同意，此外，我们会对对外提供信息的行为进行风险评估。
【同簇句】
iv.您可以通过本指引所列途径访问、更正、删除您的个人信息，也可以撤回同意、注销账号、投诉举报以及设置隐私功能。
【同簇句】
七、我们如何使用 Cookie 和同类技术
【同簇句】
本应用的扩展功能为跑步、骑行、行走、社区、饮食工具、身体测试、商城、会员、智能硬件、Keepland、Keep 团队版、站内活动等相关功能。
【同簇句】
注册、登录账号
【同簇句】
A．当您注册、登录Keep App时，您可以通过手机号创建账号，并且您可以完善相关的个人资料（包括头像、昵称、密码），收集这些信息是为了帮助您完成注册。",与本政策相关的任何纠纷，双方应经友好协商解决；,
320,,Keep,0,"【参考上下文】本句在句向量聚类中为噪声点（未归入稠密簇）。下列为同文档中抽取的若干其它句子，仅作 Lab3 行权方式识别的弱参照。

We're sorry but this site doesn't work properly without JavaScript enabled.
【同簇句】
Please enable it to continue.
【同簇句】
更新日期：2023 年 11 月 06 日
【同簇句】
生效日期：2023 年 11 月 06 日
【同簇句】
北京卡路里科技有限公司及关联公司（以下简称「Keep App」或「我们」）非常重视您的个人信息，并让您对个人信息拥有控制权，我们会使用强大的加密技术来保护您的隐私，同时制定严格的政策来管理所有数据。
【同簇句】
当您访问 Keep App 时，或使用我们提供的服务前，您需要同意本政策中关于我们如何收集、使用、储存和分享您的相关信息的规定。
【同簇句】
如果您不同意本隐私政策中的任何内容，请立即停止使用或访问我们的产品和服务。
【同簇句】
若您对本政策有任何问题，请联系：feedback@keep.com，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
Keep网页及App的运营者为北京卡路里科技有限公司或其关联公司。
【同簇句】
注册地址为北京市朝阳区望京街9号商业楼1层V段号031室、032室。
【同簇句】
我们将逐一说明我们收集的您的个人信息类型及其对应的用途，以便您了解我们针对某一特定功能所收集的具体个人信息的类别、使用理由及收集方式。
【同簇句】
ii.
【同簇句】
当您使用一些功能时，我们会在获得您的单独同意后，收集您的一些敏感信息，除非按照相关法律法规要求必须收集，拒绝提供这些信息仅会使您无法使用相关特定功能，但不影响您正常使用Keep App的其他功能。
【同簇句】
iii.
【同簇句】
目前， Keep App 不会主动共享或转让您的个人信息至Keep App外的第三方，如存在其他共享或转让您的个人信息或您需要我们将您的个人信息共享或转让至Keep App外的第三方情形时，我们会直接或确认第三方征得您对上述行为的单独同意，此外，我们会对对外提供信息的行为进行风险评估。
【同簇句】
iv.您可以通过本指引所列途径访问、更正、删除您的个人信息，也可以撤回同意、注销账号、投诉举报以及设置隐私功能。
【同簇句】
七、我们如何使用 Cookie 和同类技术
【同簇句】
本应用的扩展功能为跑步、骑行、行走、社区、饮食工具、身体测试、商城、会员、智能硬件、Keepland、Keep 团队版、站内活动等相关功能。
【同簇句】
注册、登录账号
【同簇句】
A．当您注册、登录Keep App时，您可以通过手机号创建账号，并且您可以完善相关的个人资料（包括头像、昵称、密码），收集这些信息是为了帮助您完成注册。",若不能协商解决，您在此同意将争议提交至北京仲裁委员会在北京仲裁解决。,
321,,Keep,0,"【参考上下文】本句在句向量聚类中为噪声点（未归入稠密簇）。下列为同文档中抽取的若干其它句子，仅作 Lab3 行权方式识别的弱参照。

We're sorry but this site doesn't work properly without JavaScript enabled.
【同簇句】
Please enable it to continue.
【同簇句】
更新日期：2023 年 11 月 06 日
【同簇句】
生效日期：2023 年 11 月 06 日
【同簇句】
北京卡路里科技有限公司及关联公司（以下简称「Keep App」或「我们」）非常重视您的个人信息，并让您对个人信息拥有控制权，我们会使用强大的加密技术来保护您的隐私，同时制定严格的政策来管理所有数据。
【同簇句】
当您访问 Keep App 时，或使用我们提供的服务前，您需要同意本政策中关于我们如何收集、使用、储存和分享您的相关信息的规定。
【同簇句】
如果您不同意本隐私政策中的任何内容，请立即停止使用或访问我们的产品和服务。
【同簇句】
若您对本政策有任何问题，请联系：feedback@keep.com，我们会在收到您联系后的15个工作日内完成核查和处理。
【同簇句】
Keep网页及App的运营者为北京卡路里科技有限公司或其关联公司。
【同簇句】
注册地址为北京市朝阳区望京街9号商业楼1层V段号031室、032室。
【同簇句】
我们将逐一说明我们收集的您的个人信息类型及其对应的用途，以便您了解我们针对某一特定功能所收集的具体个人信息的类别、使用理由及收集方式。
【同簇句】
ii.
【同簇句】
当您使用一些功能时，我们会在获得您的单独同意后，收集您的一些敏感信息，除非按照相关法律法规要求必须收集，拒绝提供这些信息仅会使您无法使用相关特定功能，但不影响您正常使用Keep App的其他功能。
【同簇句】
iii.
【同簇句】
目前， Keep App 不会主动共享或转让您的个人信息至Keep App外的第三方，如存在其他共享或转让您的个人信息或您需要我们将您的个人信息共享或转让至Keep App外的第三方情形时，我们会直接或确认第三方征得您对上述行为的单独同意，此外，我们会对对外提供信息的行为进行风险评估。
【同簇句】
iv.您可以通过本指引所列途径访问、更正、删除您的个人信息，也可以撤回同意、注销账号、投诉举报以及设置隐私功能。
【同簇句】
七、我们如何使用 Cookie 和同类技术
【同簇句】
本应用的扩展功能为跑步、骑行、行走、社区、饮食工具、身体测试、商城、会员、智能硬件、Keepland、Keep 团队版、站内活动等相关功能。
【同簇句】
注册、登录账号
【同簇句】
A．当您注册、登录Keep App时，您可以通过手机号创建账号，并且您可以完善相关的个人资料（包括头像、昵称、密码），收集这些信息是为了帮助您完成注册。",仲裁裁决是终局的，对双方均有约束力。,
